Agency,SideID,Date,Discharge cfs,Data Quality,discharge m3/s
USGS,11252275,3/30/17,261,A,7.390737
USGS,11252275,3/31/17,265,A,7.504005
USGS,11252275,4/1/17,278,A,7.872126
USGS,11252275,4/2/17,281,A,7.957077
USGS,11252275,4/3/17,280,A,7.92876
USGS,11252275,4/4/17,326,A,9.231342
USGS,11252275,4/5/17,487,A,13.790379
USGS,11252275,4/6/17,419,A,11.864823
USGS,11252275,4/7/17,259,A,7.334103
USGS,11252275,4/8/17,323,A,9.146391
USGS,11252275,4/9/17,542,A,15.347814
USGS,11252275,4/10/17,435,A,12.317895
USGS,11252275,4/11/17,307,A,8.693319
USGS,11252275,4/12/17,278,A,7.872126
USGS,11252275,4/13/17,274,A,7.758858
USGS,11252275,4/14/17,270,A,7.64559
USGS,11252275,4/15/17,265,A,7.504005
USGS,11252275,4/16/17,261,A,7.390737
USGS,11252275,4/17/17,257,A,7.277469
USGS,11252275,4/18/17,256,A,7.249152
USGS,11252275,4/19/17,247,A,6.994299
USGS,11252275,4/20/17,289,A,8.183613
USGS,11252275,4/21/17,370,A,10.47729
USGS,11252275,4/22/17,247,A,6.994299
USGS,11252275,4/23/17,247,A,6.994299
USGS,11252275,4/24/17,245,A,6.937665
USGS,11252275,4/25/17,287,A,8.126979
USGS,11252275,4/26/17,377,A,10.675509
USGS,11252275,4/27/17,257,A,7.277469
USGS,11252275,4/28/17,326,A,9.231342
USGS,11252275,4/29/17,376,A,10.647192
USGS,11252275,4/30/17,263,A,7.447371
USGS,11252275,5/1/17,252,A,7.135884
USGS,11252275,5/2/17,290,A,8.21193
USGS,11252275,5/3/17,366,A,10.364022
USGS,11252275,5/4/17,236,A,6.682812
USGS,11252275,5/5/17,234,A,6.626178
USGS,11252275,5/6/17,248,A,7.022616
USGS,11252275,5/7/17,240,A,6.79608
USGS,11252275,5/8/17,243,A,6.881031
USGS,11252275,5/9/17,284,A,8.042028
USGS,11252275,5/10/17,334,A,9.457878
USGS,11252275,5/11/17,288,A,8.155296
USGS,11252275,5/12/17,283,A,8.013711
